*Hour,Load
4229,2.29898
4230,2.33236
4231,2.33594
4232,2.49031
4233,2.67183
4234,2.83573
4235,2.99828
4236,3.25012
4237,3.64884
4238,4.0873
4239,4.56209
4240,5.03596
4241,5.41862
4242,5.58624
4243,5.5493
4244,5.16897
4245,4.6345
4246,4.18814
4247,3.61265
4248,3.42507
4249,2.68684
4250,2.49581
4251,2.36037
4252,2.29002
4253,2.28956
4254,2.51908
4255,2.7418
4256,2.86476
4257,3.03059
4258,3.14221
4259,3.30455
4260,3.65042
4261,4.01985
4262,4.51235
4263,5.072
4264,5.72567
4265,6.11365
4266,6.29632
4267,6.33699
4268,5.96436
4269,5.40907
4270,4.81471
4271,4.25092
4272,3.56291
4273,3.20383
4274,2.98294
4275,2.79407
4276,2.71625
4277,2.61656
4278,2.74528
4279,2.83895
4280,2.95108
4281,3.1801
4282,3.37706
4283,3.66227
4284,3.99398
4285,4.30254
4286,4.82108
4287,5.32129
4288,5.81325
4289,6.07797
4290,6.21132
4291,6.2223
4292,5.87729
4293,5.31818
4294,4.72187
4295,4.16844
4296,3.31314
4297,3.10758
4298,2.90955
4299,2.73166
4300,2.63315
4301,2.53749
4302,2.63131
4303,2.73225
4304,2.90545
4305,3.12329
4306,3.115
4307,3.24221
4308,3.58169
4309,3.94491
4310,4.32299
4311,4.71501
4312,5.16695
4313,5.38395
4314,5.42708
4315,5.3849
4316,4.9043
4317,4.47451
4318,4.02512
4319,3.56443
4320,2.97377
4321,2.84033
4322,2.64168
4323,2.6123
4324,2.57545
4325,2.51687
4326,2.48562
4327,2.67444
4328,2.75333
4329,2.82521
4330,2.84809
4331,2.95134
4332,3.09466
4333,3.35515
4334,3.60156
4335,4.07553
4336,4.59586
4337,4.78294
4338,5.02261
4339,4.88765
4340,4.43745
4341,3.97814
4342,3.74431
4343,3.31936
4344,2.81541
4345,2.6374
4346,2.44983
4347,2.32575
4348,2.29468
4349,2.25151
4350,2.35718
4351,2.50878
4352,2.73623
4353,2.86135
4354,2.81279
4355,2.83244
4356,3.01475
4357,3.16117
4358,3.56225
4359,3.97453
4360,4.35517
4361,4.58525
4362,4.78199
4363,4.7208
4364,4.43306
4365,4.00422
4366,3.66113
4367,3.21456
4368,2.76092
4369,2.54629
4370,2.31885
4371,2.26815
4372,2.2009
4373,2.18213
4374,2.23397
4375,2.26385
4376,2.41388
4377,2.69259
4378,2.87316
4379,2.77666
4380,2.57035
4381,2.60495
4382,2.83021
4383,3.15089
4384,3.39443
4385,3.65229
4386,3.89299
4387,3.96018
4388,3.80725
4389,3.57014
4390,3.34469
4391,3.05217
4392,2.63425
4393,2.48199
4394,2.35537
4395,2.28213
4396,2.23938
4397,2.17938
4398,2.26231
4399,2.32334
4400,2.43568
4401,2.69623
4402,2.8302
4403,2.79178
4404,2.76481
4405,2.82769
4406,2.88207
4407,3.06328
4408,3.26007
4409,3.4009
4410,3.63136
4411,3.60875
4412,3.46304
4413,3.2934
4414,3.21734
4415,2.97552
4416,2.67081
4417,2.368
4418,2.22342
4419,2.15716
4420,2.07943
4421,2.05575
4422,2.1448
4423,2.28117
4424,2.4476
4425,2.69026
4426,2.86256
4427,3.00857
4428,2.72715
4429,2.95472
4430,3.17129
4431,3.43729
4432,3.54271
4433,3.69498
4434,3.72523
4435,3.67877
4436,3.47012
4437,3.41962
4438,3.28002
4439,3.07979
4440,2.92251
4441,2.54616
4442,2.42625
4443,2.36417
4444,2.27774
4445,2.28805
4446,2.41119
4447,2.59679
4448,2.71799
4449,2.98664
4450,3.20445
4451,3.29449
4452,3.53875
4453,3.77612
4454,3.92093
4455,3.91087
4456,4.10395
4457,4.22194
4458,4.30527
4459,4.32292
4460,4.11176
4461,3.79843
4462,3.56098
4463,3.25168
4464,2.94821
4465,2.69982
4466,2.59596
4467,2.54312
4468,2.49172
4469,2.50798
4470,2.59873
4471,2.73842
4472,2.87785
4473,3.14276
4474,3.23533
4475,3.41142
4476,3.32849
4477,3.37098
4478,3.49835
4479,3.72486
4480,3.95625
4481,4.11593
4482,4.22756
4483,4.29431
4484,4.03559
4485,3.80323
4486,3.64281
4487,3.35014
4488,3.11249
4489,2.68931
4490,2.53967
4491,2.47252
4492,2.42507
4493,2.41052
4494,2.4946
4495,2.66528
4496,2.86018
4497,3.02004
4498,3.01034
4499,3.05968
4500,3.25496
4501,3.5055
4502,3.66516
4503,4.14365
4504,4.53166
4505,4.85999
4506,4.96699
4507,4.99829
4508,4.7723
4509,4.39433
4510,4.06353
4511,3.69069
4512,3.34986
4513,2.94992
4514,2.74923
4515,2.55978
4516,2.53293
4517,2.36119
4518,2.32339
4519,2.53686
4520,2.66687
4521,2.90716
4522,3.11653
4523,3.3149
4524,3.67697
4525,4.18928
4526,4.61403
4527,5.14253
4528,5.61464
4529,5.92962
4530,5.94763
4531,5.92942
4532,5.62635
4533,5.14371
4534,4.5577
4535,3.988
4536,3.62877
4537,3.1421
4538,2.91242
4539,2.7565
4540,2.6167
4541,2.61224
4542,2.62447
4543,2.55145
4544,2.7201
4545,2.97632
4546,3.12909
4547,3.29992
4548,3.54793
4549,3.81703
4550,4.16734
4551,4.56951
4552,4.93995
4553,5.32471
4554,5.5899
4555,5.71716
4556,5.49793
4557,5.1123
4558,4.68839
4559,4.17873
4560,3.45529
4561,3.21829
4562,2.90385
4563,2.61747
4564,2.43376
4565,2.31646
4566,2.37521
4567,2.38893
4568,2.56538
4569,2.7795
4570,3.04393
4571,3.2087
4572,3.58993
4573,4.18518
4574,4.75519
4575,5.26056
4576,5.74364
4577,6.05929
4578,6.18169
4579,6.2895
4580,6.09967
4581,5.60439
4582,5.01483
4583,4.3027
4584,3.77841
4585,3.1791
4586,2.87202
4587,2.71645
4588,2.5605
4589,2.55212
4590,2.795
4591,2.76352
4592,3.03084
4593,3.45818
4594,3.75929
4595,4.16789
4596,4.64194
4597,5.09106
4598,5.73188
4599,6.29178
4600,6.74466
4601,6.80548
4602,6.61759
4603,6.51151
4604,6.13422
4605,5.62589
4606,5.06732
4607,4.40657
4608,3.47848
4609,3.41545
4610,3.09508
4611,2.89974
4612,2.73604
4613,2.69353
4614,2.70901
4615,2.84344
4616,2.98253
4617,3.09924
4618,3.22233
4619,3.37228
4620,3.56956
4621,3.98487
4622,4.3915
4623,4.7864
4624,4.98874
4625,5.11407
4626,5.08268
4627,5.11651
4628,4.72278
4629,4.19394
4630,3.85549
4631,3.43239
4632,3.14751
4633,2.75742
4634,2.65186
4635,2.61688
4636,2.56173
4637,2.54453
4638,2.60732
4639,2.80456
4640,2.96383
4641,3.11147
4642,3.26517
4643,3.31061
4644,3.16981
4645,3.29423
4646,3.6035
4647,3.98741
4648,4.40677
4649,4.78255
4650,4.90515
4651,4.96904
4652,4.68352
4653,4.34948
4654,4.05401
4655,3.63168
4656,3.31711
4657,2.94394
4658,2.82099
4659,2.69035
4660,2.59589
4661,2.46904
4662,2.59354
4663,2.81597
4664,2.97837
4665,3.18283
4666,3.15411
4667,3.56186
4668,3.95802
4669,4.33848
4670,4.90887
4671,5.47918
4672,6.00787
4673,6.31739
4674,6.37877
4675,6.28557
4676,5.97771
4677,5.43647
4678,4.84636
4679,4.17413
4680,3.6185
4681,3.12274
4682,2.94687
4683,2.71573
4684,2.60872
4685,2.48591
4686,2.62118
4687,2.70205
4688,2.87352
4689,3.15739
4690,3.23735
4691,3.37267
4692,3.74093
4693,4.21874
4694,4.78751
4695,5.42495
4696,6.0211
4697,6.1313
4698,6.30981
4699,6.34097
4700,6.03458
4701,5.33286
4702,4.74959
4703,4.19431
4704,3.70247
4705,3.25956
4706,3.00338
4707,2.84949
4708,2.73182
4709,2.64863
4710,2.68812
4711,2.69354
4712,2.82944
4713,2.99946
4714,3.27771
4715,3.56729
4716,3.96748
4717,4.58557
4718,5.37795
4719,6.05117
4720,6.4993
4721,6.92144
4722,6.9881
4723,6.97817
4724,6.52162
4725,5.93023
4726,5.21785
4727,4.55206
4728,3.5987
4729,3.39663
4730,3.07295
4731,2.78086
4732,2.63349
4733,2.46135
4734,2.47554
4735,2.48032
4736,2.63508
4737,2.85505
4738,3.04118
4739,3.3062
4740,3.86716
4741,4.47596
4742,5.04401
4743,5.62867
4744,6.03082
4745,6.36729
4746,6.45158
4747,6.4244
4748,5.96329
4749,5.2575
4750,4.62275
4751,3.99679
4752,3.59948
4753,3.02781
4754,2.78719
4755,2.63225
4756,2.49085
4757,2.45107
4758,2.58253
4759,2.77221
4760,2.97577
4761,3.21078
4762,3.57224
4763,4.04539
4764,4.3505
4765,4.91521
4766,5.55274
4767,6.05259
4768,6.54627
4769,6.41411
4770,6.40068
4771,6.2955
4772,5.93904
4773,5.36277
4774,4.61318
4775,4.1047
4776,3.5514
4777,3.18147
4778,2.96875
4779,2.7968
4780,2.72804
4781,2.68298
4782,2.70169
4783,2.73243
4784,2.84588
4785,3.03686
4786,3.22044
4787,3.68405
4788,4.15306
4789,4.69271
4790,5.20702
4791,5.6012
4792,6.00719
4793,5.84146
4794,6.03261
4795,6.05586
4796,5.56113
4797,5.06381
4798,4.61128
4799,4.07253
4800,3.42239
4801,3.11538
4802,2.90975
4803,2.74958
4804,2.71491
4805,2.62284
4806,2.68474
4807,2.74357
4808,2.86899
4809,3.02228
4810,3.34512
4811,3.59501
4812,3.85252
4813,4.41405
4814,4.81859
4815,5.43622
4816,6.03184
